problem	domain	status	rating
AGT042-10	AGT	SAT	0.20
ALG005-1	ALG	UNS	0.04
ALG006-1	ALG	UNS	0.04
ALG007-1	ALG	UNS	0.13
ALG008-10	ALG	SAT	0.20
ALG030-10	ALG	UNS	0.09
ALG069-10	ALG	UNS	0.09
ALG212-10	ALG	UNS	0.96
ALG213-10	ALG	UNS	0.96
ALG235-1	ALG	UNS	0.00
ALG236-1	ALG	UNS	0.04
ALG237-1	ALG	UNS	1.00
ALG238-1	ALG	UNS	1.00
ALG239-1	ALG	UNS	1.00
ALG240-1	ALG	UNS	0.35
ALG241-1	ALG	UNS	1.00
ALG242-1	ALG	UNS	1.00
ALG243-1	ALG	UNS	1.00
ALG244-1	ALG	UNS	1.00
ALG245-1	ALG	UNS	0.26
ALG246-1	ALG	UNS	0.65
ALG299-1	ALG	SAT	0.60
ALG300-1	ALG	SAT	0.60
ALG301-1	ALG	SAT	1.00
ALG302-1	ALG	SAT	0.60
ALG441-10	ALG	UNS	0.96
ANA004-10	ANA	UNS	1.00
ANA005-10	ANA	UNS	1.00
ANA023-10	ANA	UNS	0.09
ANA034-10	ANA	UNS	0.26
ANA133-1	ANA	UNS	0.39
BOO001-1	BOO	UNS	0.04
BOO002-1	BOO	UNS	0.09
BOO002-2	BOO	UNS	0.04
BOO003-2	BOO	UNS	0.00
BOO003-4	BOO	UNS	0.00
BOO004-10	BOO	UNS	0.22
BOO004-2	BOO	UNS	0.04
BOO004-4	BOO	UNS	0.00
BOO005-2	BOO	UNS	0.04
BOO005-4	BOO	UNS	0.04
BOO006-2	BOO	UNS	0.04
BOO006-4	BOO	UNS	0.09
BOO007-2	BOO	UNS	0.09
BOO007-4	BOO	UNS	0.04
BOO008-10	BOO	SAT	0.00
BOO008-2	BOO	UNS	0.04
BOO008-4	BOO	UNS	0.04
BOO009-2	BOO	UNS	0.09
BOO009-4	BOO	UNS	0.09
BOO010-2	BOO	UNS	0.04
BOO010-4	BOO	UNS	0.04
BOO011-2	BOO	UNS	0.00
BOO011-4	BOO	UNS	0.00
BOO012-2	BOO	UNS	0.00
BOO012-4	BOO	UNS	0.00
BOO013-2	BOO	UNS	0.00
BOO013-4	BOO	UNS	0.00
BOO014-10	BOO	UNS	0.78
BOO014-2	BOO	UNS	0.04
BOO014-4	BOO	UNS	0.04
BOO015-10	BOO	UNS	0.70
BOO015-2	BOO	UNS	0.04
BOO015-4	BOO	UNS	0.04
BOO016-2	BOO	UNS	0.13
BOO017-10	BOO	UNS	0.35
BOO017-2	BOO	UNS	0.09
BOO018-4	BOO	UNS	0.00
BOO019-1	BOO	SAT	0.00
BOO021-1	BOO	UNS	0.04
BOO022-1	BOO	UNS	0.00
BOO023-1	BOO	UNS	0.26
BOO024-1	BOO	UNS	0.09
BOO025-1	BOO	UNS	0.09
BOO026-1	BOO	UNS	0.13
BOO027-1	BOO	SAT	0.00
BOO028-1	BOO	UNS	0.09
BOO029-1	BOO	UNS	0.09
BOO030-1	BOO	SAT	0.00
BOO031-1	BOO	UNS	0.17
BOO032-1	BOO	SAT	0.00
BOO033-1	BOO	SAT	0.00
BOO034-1	BOO	UNS	0.17
BOO036-1	BOO	SAT	0.00
BOO037-2	BOO	SAT	0.00
BOO037-3	BOO	SAT	0.00
BOO046-10	BOO	OPN	1.00
BOO047-10	BOO	OPN	1.00
BOO051-10	BOO	OPN	1.00
BOO056-10	BOO	SAT	0.60
BOO057-10	BOO	SAT	0.60
BOO067-1	BOO	UNS	0.17
BOO068-1	BOO	UNS	0.09
BOO069-1	BOO	UNS	0.09
BOO070-1	BOO	UNS	0.09
BOO071-1	BOO	UNS	0.09
BOO072-1	BOO	UNS	0.13
BOO073-1	BOO	UNS	0.39
BOO074-1	BOO	UNS	0.13
BOO075-1	BOO	UNS	0.09
BOO076-1	BOO	UNS	0.78
BOO077-1	BOO	SAT	1.00
BOO078-1	BOO	UNK	1.00
BOO079-1	BOO	UNK	1.00
BOO080-1	BOO	UNK	1.00
BOO081-1	BOO	UNK	1.00
BOO082-1	BOO	UNK	1.00
BOO083-1	BOO	UNK	1.00
BOO084-1	BOO	UNK	1.00
BOO085-1	BOO	UNK	1.00
BOO086-1	BOO	UNK	1.00
BOO087-1	BOO	UNK	1.00
BOO088-1	BOO	UNK	1.00
BOO089-1	BOO	UNK	1.00
BOO090-1	BOO	UNK	1.00
BOO091-1	BOO	UNK	1.00
BOO092-1	BOO	UNK	1.00
BOO093-1	BOO	UNK	1.00
BOO094-1	BOO	UNK	1.00
BOO095-1	BOO	UNK	1.00
BOO096-1	BOO	UNK	1.00
BOO097-1	BOO	UNK	1.00
BOO098-1	BOO	UNK	1.00
BOO099-1	BOO	UNK	1.00
BOO100-1	BOO	UNK	1.00
BOO101-1	BOO	UNK	1.00
BOO102-1	BOO	UNK	1.00
BOO103-1	BOO	UNK	1.00
BOO104-1	BOO	UNK	1.00
BOO105-1	BOO	UNK	1.00
BOO106-1	BOO	SAT	1.00
BOO107-1	BOO	UNK	1.00
BOO108-1	BOO	UNK	1.00
CAT001-10	CAT	SAT	0.20
CAT002-10	CAT	SAT	0.20
CAT010-10	CAT	UNS	0.04
CAT019-10	CAT	SAT	0.20
COL001-1	COL	UNS	0.17
COL001-2	COL	UNS	0.09
COL002-1	COL	UNS	0.13
COL002-10	COL	UNS	0.70
COL002-4	COL	UNS	0.13
COL002-5	COL	UNS	0.43
COL003-1	COL	UNS	0.74
COL003-10	COL	UNS	0.74
COL003-12	COL	UNS	0.09
COL003-13	COL	UNS	0.09
COL003-14	COL	UNS	0.04
COL003-15	COL	UNS	0.00
COL003-16	COL	UNS	0.09
COL003-17	COL	UNS	0.22
COL003-18	COL	UNS	0.22
COL003-19	COL	UNS	0.22
COL003-20	COL	UNS	0.17
COL004-1	COL	UNS	0.43
COL004-3	COL	UNS	0.04
COL005-1	COL	SAT	0.00
COL006-1	COL	UNS	0.52
COL006-5	COL	UNS	0.57
COL006-6	COL	UNS	0.57
COL006-7	COL	UNS	0.52
COL007-1	COL	UNS	0.04
COL008-1	COL	UNS	0.04
COL009-1	COL	UNS	0.30
COL010-1	COL	UNS	0.09
COL011-1	COL	UNS	0.35
COL012-1	COL	UNS	0.04
COL013-1	COL	UNS	0.04
COL014-1	COL	UNS	0.04
COL015-1	COL	UNS	0.04
COL016-1	COL	UNS	0.04
COL017-1	COL	UNS	0.09
COL018-1	COL	UNS	0.09
COL019-1	COL	UNS	0.09
COL020-1	COL	UNS	0.09
COL021-1	COL	UNS	0.09
COL022-1	COL	UNS	0.09
COL023-1	COL	UNS	0.17
COL024-1	COL	UNS	0.09
COL025-1	COL	UNS	0.09
COL026-1	COL	UNS	0.17
COL027-1	COL	UNS	0.13
COL029-1	COL	UNS	0.04
COL030-1	COL	UNS	0.09
COL031-1	COL	UNS	0.09
COL032-1	COL	UNS	0.13
COL033-1	COL	UNS	0.13
COL034-1	COL	UNS	0.35
COL035-1	COL	UNS	0.17
COL036-1	COL	UNS	0.39
COL037-1	COL	UNS	0.26
COL038-1	COL	UNS	0.70
COL039-1	COL	UNS	0.09
COL041-1	COL	UNS	0.35
COL042-1	COL	UNS	0.83
COL042-10	COL	UNS	0.83
COL042-6	COL	UNS	0.22
COL042-7	COL	UNS	0.22
COL042-8	COL	UNS	0.22
COL042-9	COL	UNS	0.22
COL043-1	COL	UNS	0.91
COL043-3	COL	UNS	0.48
COL044-1	COL	UNS	0.22
COL044-10	COL	UNS	0.83
COL044-6	COL	UNS	0.35
COL044-7	COL	UNS	0.39
COL044-8	COL	UNS	0.48
COL044-9	COL	UNS	0.48
COL045-1	COL	UNS	0.09
COL046-1	COL	UNS	0.48
COL047-1	COL	SAT	0.00
COL048-1	COL	UNS	0.09
COL049-1	COL	UNS	0.30
